A     B     PRODUCT
0100  1110  00111000  true condition
0100  1111  00111100  true condition
0101  0000  00000000  true condition
0101  0001  00000101  true condition
0101  0010  00001010  true condition
0101  0011  00001111  true condition
0101  0100  00010100  true condition
0101  0101  00011001  true condition
0101  0110  00011110  true condition
0101  0111  00100011  true condition
0101  1000  00101000  true condition
0101  1001  00101101  true condition
0101  1010  00110010  true condition
0101  1011  00110111  true condition
0101  1100  00111100  true condition
0101  1101  01000001  true condition
0101  1110  01000110  true condition
0101  1111  01001011  true condition
0110  0000  00000000  true condition
0110  0001  00000110  true condition
0110  0010  00001100  true condition
0110  0011  00010010  true condition
0110  0100  00011000  true condition
0110  0101  00011110  true condition
0110  0110  00100100  true condition
0110  0111  00101010  true condition
0110  1000  00110000  true condition
0110  1001  00110110  true condition
0110  1010  00111100  true condition
0110  1011  01000010  true condition
0110  1100  01001000  true condition
0110  1101  01001110  true condition
0110  1110  01010100  true condition
0110  1111  01011010  true condition
0111  0000  00000000  true condition
0111  0001  00000111  true condition
0111  0010  00001110  true condition
0111  0011  00010101  true condition
0111  0100  00011100  true condition
0111  0101  00100011  true condition
0111  0110  00101010  true condition
0111  0111  00110001  true condition
0111  1000  00111000  true condition
0111  1001  00111111  true condition
0111  1010  01000110  true condition
0111  1011  01001101  true condition
0111  1100  01010100  true condition
0111  1101  01011011  true condition
0111  1110  01100010  true condition
0111  1111  01101001  true condition
1000  0000  00000000  true condition
1000  0001  00001000  true condition
1000  0010  00010000  true condition
1000  0011  00011000  true condition
1000  0100  00100000  true condition
1000  0101  00101000  true condition
1000  0110  00110000  true condition
1000  0111  00111000  true condition
1000  1000  01000000  true condition
1000  1001  01001000  true condition
1000  1010  01010000  true condition
1000  1011  01011000  true condition
1000  1100  01100000  true condition
1000  1101  01101000  true condition
1000  1110  01110000  true condition
1000  1111  01111000  true condition
1001  0000  00000000  true condition
1001  0001  00001001  true condition
1001  0010  00010010  true condition
1001  0011  00011011  true condition
1001  0100  00100100  true condition
1001  0101  00101101  true condition
1001  0110  00110110  true condition
1001  0111  00111111  true condition
1001  1000  01001000  true condition
1001  1001  01010001  true condition
1001  1010  01011010  true condition
1001  1011  01100011  true condition
1001  1100  01101100  true condition
1001  1101  01110101  true condition
1001  1110  01111110  true condition
1001  1111  10000111  true condition
1010  0000  00000000  true condition
1010  0001  00001010  true condition
1010  0010  00010100  true condition
1010  0011  00011110  true condition
1010  0100  00101000  true condition
1010  0101  00110010  true condition
1010  0110  00111100  true condition
1010  0111  01000110  true condition
1010  1000  01010000  true condition
1010  1001  01011010  true condition
1010  1010  01100100  true condition
1010  1011  01101110  true condition
1010  1100  01111000  true condition
1010  1101  10000010  true condition
1010  1110  10001100  true condition
1010  1111  10010110  true condition
1011  0000  00000000  true condition
1011  0001  00001011  true condition
1011  0010  00010110  true condition
1011  0011  00100001  true condition
1011  0100  00101100  true condition
1011  0101  00110111  true condition
1011  0110  01000010  true condition
1011  0111  01001101  true condition
1011  1000  01011000  true condition
1011  1001  01100011  true condition
1011  1010  01101110  true condition
1011  1011  01111001  true condition
1011  1100  10000100  true condition
1011  1101  10001111  true condition
1011  1110  10011010  true condition
1011  1111  10100101  true condition
1100  0000  00000000  true condition
1100  0001  00001100  true condition
1100  0010  00011000  true condition
1100  0011  00100100  true condition
1100  0100  00110000  true condition
1100  0101  00111100  true condition
1100  0110  01001000  true condition
1100  0111  01010100  true condition
1100  1000  01100000  true condition
1100  1001  01101100  true condition
1100  1010  01111000  true condition
1100  1011  10000100  true condition
1100  1100  10010000  true condition
1100  1101  10011100  true condition
1100  1110  10101000  true condition
1100  1111  10110100  true condition
1101  0000  00000000  true condition
1101  0001  00001101  true condition
1101  0010  00011010  true condition
1101  0011  00100111  true condition
1101  0100  00110100  true condition
1101  0101  01000001  true condition
1101  0110  01001110  true condition
1101  0111  01011011  true condition
1101  1000  01101000  true condition
1101  1001  01110101  true condition
1101  1010  10000010  true condition
1101  1011  10001111  true condition
1101  1100  10011100  true condition
1101  1101  10101001  true condition
1101  1110  10110110  true condition
1101  1111  11000011  true condition
1110  0000  00000000  true condition
1110  0001  00001110  true condition
1110  0010  00011100  true condition
1110  0011  00101010  true condition
1110  0100  00111000  true condition
1110  0101  01000110  true condition
1110  0110  01010100  true condition
1110  0111  01100010  true condition
1110  1000  01110000  true condition
1110  1001  01111110  true condition
1110  1010  10001100  true condition
1110  1011  10011010  true condition
1110  1100  10101000  true condition
1110  1101  10110110  true condition
1110  1110  11000100  true condition
1110  1111  11010010  true condition
1111  0000  00000000  true condition
1111  0001  00001111  true condition
1111  0010  00011110  true condition
1111  0011  00101101  true condition
1111  0100  00111100  true condition
1111  0101  01001011  true condition
1111  0110  01011010  true condition
1111  0111  01101001  true condition
1111  1000  01111000  true condition
1111  1001  10000111  true condition
1111  1010  10010110  true condition
1111  1011  10100101  true condition
1111  1100  10110100  true condition
1111  1101  11000011  true condition
1111  1110  11010010  true condition
1111  1111  11100001  true condition
